payroll_tax,,E3.8,,"Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032), with the threshold wage-indexed after 2032. Provide proportional benefit credit for additional earnings taxed, based on the payroll tax rate applied to the additional earnings divided by the full 12.4 percent payroll tax rate.",,0.18,0.10,5,2,,,,,,,,,,
payroll_tax,,E3.9,,"Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032), with the threshold wage-indexed after 2032. Do not provide benefit credit for additional earnings taxed.",,0.26,0.30,7,6,,,,,,,,,,
payroll_tax,,E3.10,,"Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032), with the threshold wage-indexed after 2032. Provide proportional benefit credit for additional earnings taxed, based on the payroll tax rate applied to the additional earnings divided by the full 12.4 percent payroll tax rate.",,0.13,0.07,4,2,,,,,,,,,,
payroll_tax,,E3.11,,"Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032), with the threshold wage-indexed after 2032. Do not provide benefit credit for additional earnings taxed.",,0.19,0.22,6,5,,,,,,,,,,
payroll_tax,,E3.12,,"Beginning in 2026, apply 4 percent payroll tax rate on earnings above the wage-indexed equivalent of $400,000 in 2015 (about $612,900 in 2026), with the threshold wage-indexed after 2026. Provide benefit credit for additional earnings taxed, using a secondary PIA formula.",,0.10,0.06,3,1,,,,,,,,,,
payroll_tax,,E3.13,,"Beginning in 2026, increase the taxable maximum by twice the rate of increase in the national Average Wage Index, but never by less than 3 percent. Provide benefit credit for earnings up to the revised taxable maximum levels.",,0.16,0.18,4,4,,,,,,,,,,
payroll_tax,,E3.14,,"Increase the taxable maximum such that 90 percent of earnings are subject to the payroll tax (phased in 2025-2034). In addition, apply a tax rate of 6.2 percent for earnings above the revised taxable maximum (phased in from 2025-2034). Provide benefit credit for earnings taxed up to the revised taxable maximum.",,1.56,1.45,45,31,,,,,,,,,,
payroll_tax,,E3.15,,"Increase the taxable maximum linearly over 4 years to $291,000 for 2029. After 2029, index the taxable maximum to AWI plus 0.5 percentage point. Apply benefit credit on additional earnings taxed.",,1.52,1.41,43,30,,,,,,,,,,
payroll_tax,,E3.16,,"Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit for earnings up to the revised taxable maximum. Create a new bend point equal to the current-law taxable maximum with a 5 percent formula factor applying above the new bend point.",,0.32,0.33,9,7,,,,,,,,,,
payroll_tax,,E3.17,,"Beginning in 2026, increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in linearly from 2026-2031). Provide benefit credit for additional earnings taxed, using a secondary PIA formula.",,1.13,1.56,32,34,,,,,,,,,,
payroll_tax,,E3.18,,"Beginning in 2026, apply 2 percent payroll tax rate for earnings above the wage-indexed equivalent of $400,000 in 2017 (about $500,000 in 2026), with the threshold wage-indexed after 2026. Provide proportional benefit credit for additional earnings taxed, using a PIA formula factor of 0.5 percent on AIME attributable to earnings above this threshold.",,0.66,0.72,19,16,,,,,,,,,,
payroll_tax,,E3.19,,"Beginning in 2026, apply 2 percent payroll tax rate on earnings above $400,000 (not indexed for future years). Provide proportional benefit credit for additional earnings taxed, using a secondary PIA formula. The secondary PIA formula would involve a formula factor of 0.5 percent of AIME+ (AIME derived from taxed earnings above the threshold).",,1.05,1.11,30,24,,,,,,,,,,
